Der Versuch Tomaten Reifegradbestimmung wurde mit dem Dpark fun NIR Triad durchgeführt. der misst 18 wellenlängen von 410 bis 940 nm. Die Umgebung war verdunkerlt und Klimatisiert auf 22°C.  Die Studenten  Leonhard, Samuel, Frederik und Luzia aheb die Messungen durchgeführt. Zur Kallibreirung wurde ein Refraktometer benutzt und der Frucktose gehalt der Früchte gemessen.Zielsetzung kalibreirung des NIR Sensors zu finden die am besten zu den gemessenen Daten passt

Counter;Messobjekt;Kurz;Tomate;Rispe;Reihe;Tag;Brix;Temp0;Temp1;Temp2;A_410;B_435;C_460;D_485;E_510;F_535;G_560;H_585;R_610;I_645;S_680;J_705;T_730;U_760;V_810;W_860;K_900;L_940
1013;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;42;32;1197.84;2110.14;4240.19;1428.88;2969.38;3761.06;626.69;1242.22;38568.60;4044.14;13727.11;1620.99;3868.95;2314.41;9774.00;17681.05;7178.53;3394.74
1014;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;42;32;1326.32;2370.52;5045.56;1932.13;3696.64;4537.24;603.81;1110.27;53944.78;5664.83;13244.55;1472.52;5451.22;3351.98;8663.39;26413.40;9341.60;2955.07
1015;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;41;32;726.18;2400.53;3956.68;1969.99;2978.32;3921.09;959.00;1930.37;41792.14;4567.40;14047.80;1809.17;3274.26;1861.42;9493.31;13302.54;8562.84;4412.97
1016;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;32;869.31;1869.12;2775.54;1176.83;1812.93;3193.55;412.98;802.94;47424.79;4367.20;20168.29;1267.19;5072.92;3151.81;14839.48;27359.50;8668.46;2505.83
1017;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;41;32;473.28;1507.11;4151.77;1201.78;3275.64;3208.35;619.47;1101.15;35144.58;5702.52;7725.99;968.44;3433.10;2107.05;5867.00;18089.08;10540.02;4056.64
1018;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;41;32;813.20;2396.66;2071.08;1449.53;1308.47;3764.58;508.09;942.93;51397.84;2824.34;9751.31;1319.53;5291.61;3166.16;9385.41;26285.61;9593.68;2926.34
1019;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;41;32;1025.44;2081.10;4830.28;1668.04;3202.61;4616.19;495.45;987.44;38060.57;3303.54;16559.73;1324.50;4017.05;2489.07;12305.12;21448.63;6085.03;2903.35
1020;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;32;1023.81;2295.99;2591.97;1348.02;1619.19;3289.43;701.94;1316.77;58804.01;4482.72;15211.20;1425.58;6632.93;3679.77;9675.03;19611.36;9972.50;3774.06
1021;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;41;32;934.36;2032.71;4519.86;1403.94;2934.36;4057.15;485.82;897.34;41296.65;5624.69;20798.55;1195.43;4340.10;2665.32;13924.38;22370.06;8299.50;2986.68
1022;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;32;671.70;2337.61;4184.45;1600.08;2240.64;3820.98;940.94;1845.09;60612.84;4951.15;17118.16;1837.15;4947.07;2869.48;11087.42;19847.88;9438.07;4371.78
1023;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;32;1104.32;3416.88;3938.42;2123.11;2585.64;5844.97;719.40;1539.90;54579.23;3296.20;18131.84;1988.33;5091.34;2933.29;11607.44;19212.29;5715.37;3190.71
1024;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;32;1090.50;2389.88;3844.23;1793.63;2800.24;5426.21;409.37;767.54;41813.78;5017.24;8086.13;1138.57;4917.92;3036.96;6814.54;20344.47;9036.72;2759.67
1025;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;32;1192.96;3011.31;5029.22;1815.14;2975.34;4736.74;1051.71;2082.16;4294967300.00;5216.46;19681.69;2344.39;7882.17;4455.75;11688.57;25472.91;9077.55;4667.77
1026;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;32;1605.25;2617.35;4884.10;1624.16;3362.07;4228.46;1131.17;2113.81;49094.66;5476.86;21947.79;2259.09;6091.19;3539.40;11626.10;19167.45;8164.31;4398.61
1027;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;32;975.02;1782.01;3722.18;1058.11;2341.97;2627.45;374.45;709.61;47760.82;3804.78;15449.95;1134.51;6272.28;4071.35;12092.57;32245.80;7332.03;2592.99
1028;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;32;1425.53;3039.38;5347.33;1902.89;3432.86;4198.85;828.97;1691.15;4294967300.00;4974.16;25859.85;1811.43;7216.11;4277.91;14115.84;24418.07;8262.88;3756.82
1029;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;32;932.74;3084.87;3196.48;2056.87;2330.05;5790.69;734.45;1623.57;54155.50;2602.11;23942.77;2212.61;4831.97;2747.46;14566.09;19168.57;3945.20;3661.03
1030;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;32;887.20;2098.53;3754.85;1406.52;2559.56;3651.78;472.58;937.03;52512.98;4299.65;16775.21;1223.41;5426.67;3361.55;13057.96;28080.28;7549.61;2764.45
1031;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;42;32;1365.36;2493.45;4749.55;1597.49;3327.80;4381.44;471.37;923.08;61863.53;5275.68;17169.76;1356.54;6910.71;4321.77;13212.91;37243.08;7874.21;2299.88
1032;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;42;32;1737.80;3595.96;4424.71;2538.61;3015.58;4348.30;1116.12;2163.15;4294967300.00;5784.75;14134.80;2254.58;8888.93;4839.36;9357.02;23801.54;9435.25;4410.10
1033;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;33;1276.72;2767.39;5825.94;1901.17;3827.78;5002.52;488.23;1032.50;72765.48;7570.89;20777.31;1810.07;8621.12;5270.02;11640.70;29542.03;10090.79;3612.18
1034;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;42;32;1036.83;2237.91;4534.27;1703.31;3435.84;5256.31;559.87;1132.80;63665.52;4396.57;18489.96;1750.50;6043.61;3568.91;11226.15;23995.47;6814.50;3011.59
1035;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;42;33;953.07;2997.76;4579.44;1976.87;3181.75;4386.37;883.15;1764.63;4294967300.00;5897.33;16474.75;2135.90;7942.79;4615.26;11358.38;29931.00;8362.17;4210.86
1036;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;42;33;1593.86;3604.67;5620.27;2713.25;4280.83;6683.89;1060.74;2065.00;65015.31;4888.99;24669.13;2092.12;6093.49;3598.42;13792.15;21241.25;6981.38;3781.73
1037;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;42;33;1052.28;3396.56;4344.94;2117.09;3263.71;5393.08;783.81;1681.50;72019.39;3916.87;23844.64;2218.03;6261.54;3571.30;11563.63;25627.60;5832.25;3599.73
1038;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;42;33;1658.11;3006.47;4503.52;2143.76;3247.32;6134.71;614.65;1197.16;66499.51;4260.98;23558.34;1570.90;6830.91;4137.54;15483.62;28528.67;6568.76;2576.71
1039;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;43;33;1327.14;3289.11;5672.17;2276.24;4028.97;6057.17;595.39;1245.97;71863.34;5828.80;15248.63;1961.25;7067.25;4209.32;10324.03;28734.93;8936.73;3069.06
1040;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;42;33;1196.21;3019.05;4467.96;2060.31;3216.77;4419.50;887.96;1818.27;4294967300.00;6547.86;20461.67;2051.51;6457.21;3817.74;11888.95;24233.11;9542.98;4167.76
1041;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;43;33;1858.97;3588.21;4620.77;2183.33;2890.40;4854.48;1170.30;2311.72;4294967300.00;5822.44;23831.49;2366.95;9864.22;5714.24;11806.20;27154.36;9671.13;4294.20
1042;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;43;33;1486.52;2922.26;6377.58;1893.42;3996.19;4955.99;486.42;1014.80;61062.77;6981.05;32354.65;1685.97;7147.05;4376.00;15808.12;25706.07;9514.11;3096.84
1043;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;43;33;1084.80;2284.38;4715.91;1486.52;3210.06;3424.78;654.98;1298.00;57240.08;5017.72;22279.61;1519.90;6317.55;3887.12;13499.29;24970.71;6727.19;3441.68
1044;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;42;33;1360.48;2853.53;3194.56;1937.30;2546.14;4995.47;730.24;1398.83;4294967300.00;3614.86;26302.95;1661.15;7084.13;4364.84;15913.58;31848.98;7441.88;2847.79
1045;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;43;33;1901.25;3217.48;5540.50;2343.34;3885.16;6470.99;647.16;1258.84;64803.45;5836.64;23258.89;1521.26;7082.60;4400.73;12786.19;26936.89;7738.31;2842.04
1046;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;42;33;1045.77;2380.20;4673.63;1696.42;3308.42;4779.04;490.03;952.04;60303.02;4177.77;17447.96;1264.03;6521.67;4086.50;11232.64;27909.89;7034.19;2783.61
1047;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;42;33;1218.17;2687.04;4744.75;1955.36;2424.69;4913.69;788.03;1507.18;4294967300.00;6058.86;28576.13;1504.56;7631.25;4541.89;15460.90;26347.26;9860.54;3057.57
1048;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;42;33;763.59;1994.96;2727.48;1500.29;2159.42;2446.98;966.83;1891.75;4294967300.00;5499.87;21628.11;2045.19;8205.99;4954.21;12103.93;30092.42;11461.01;4672.56
1049;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;36;42;33;1230.37;2538.95;3586.67;2182.47;2356.13;7886.58;344.35;762.17;10818.80;5204.22;27467.36;986.94;2368.79;1298.37;15202.92;2801.30;10016.85;3611.22
1050;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;41;33;1305.99;2596.06;3518.43;2269.35;4247.30;8192.54;881.34;2047.30;4294967300.00;6398.57;25991.36;2530.76;7665.78;4870.47;17200.23;33548.37;11806.03;4840.19
1051;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;35;42;33;1047.40;2707.37;4633.26;2002.68;3351.64;5994.42;969.23;2007.61;66556.46;6045.65;22389.88;1925.15;5621.57;3137.45;13424.65;16823.51;9294.42;4123.69
1052;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;42;33;2309.48;2968.72;5063.82;1875.36;3656.40;5674.36;887.36;1816.12;66641.89;3972.67;17839.47;1731.10;6470.26;3945.34;10870.82;25245.35;6230.08;3232.86
1053;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;42;33;1659.73;5139.84;6041.21;5488.43;5798.68;22689.00;1108.30;1938.95;48042.16;4576.21;13959.79;2029.84;5214.11;3141.44;10480.61;18797.53;10168.95;3831.54
1054;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;42;33;2343.63;2916.45;4838.93;1809.98;4969.34;5520.68;891.57;1820.95;59728.93;7333.48;13060.43;1653.03;5912.40;3530.63;9135.54;22206.40;11761.67;3337.27
1055;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;42;33;1475.95;3769.22;5246.42;6896.67;3835.98;14981.48;1096.86;2209.81;52229.35;3552.69;20476.85;2293.84;5183.42;2971.57;11628.53;18169.79;5842.81;4406.27
1056;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;35;43;33;1456.43;2916.45;4368.97;4683.23;5934.29;11883.10;915.65;1809.15;47743.73;2838.53;18591.13;1850.24;4977.00;2891.81;12967.10;20059.75;4499.35;3279.80
1057;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;980.71;2227.27;3504.02;1429.74;6385.10;3731.45;713.98;1532.39;49750.75;5383.37;12988.60;1693.19;5338.42;3241.93;9819.43;20950.92;8905.75;3298.00
1058;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;42;33;1259.64;2259.21;3449.24;1416.84;2438.10;4289.08;629.70;1352.17;69458.78;3719.12;19338.74;1516.29;6662.86;4075.34;17017.70;28711.39;6827.88;2991.47
1059;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;1436.10;2177.90;3956.68;2200.53;5230.14;6800.92;697.13;1330.18;48551.32;4254.13;13569.29;1689.13;5446.62;3300.94;9711.54;23263.48;11970.80;3187.84
1060;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;1571.09;2337.61;3843.27;1648.25;3005.89;5430.44;930.70;1938.42;58338.13;5547.35;14098.38;1924.70;5438.18;3170.95;11149.08;22157.08;8611.42;3704.14
1061;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;1776.02;2779.00;4578.48;2520.55;3356.11;8836.89;1237.13;2493.55;72428.31;3987.36;29617.12;2711.72;6626.03;3718.84;18301.11;19254.89;5216.85;4647.66
1062;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;2261.50;2544.76;7658.67;2419.04;8103.40;7031.45;521.94;947.22;61771.27;5138.63;12874.28;1309.61;7084.90;4360.85;8054.95;28339.22;10871.66;1994.32
1063;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;1676.81;2836.11;5007.11;2024.18;3294.26;7060.35;670.64;1449.79;72357.70;5610.49;18199.62;1842.56;7395.67;4466.92;11749.41;26084.96;8835.34;2832.46
1064;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;1667.87;3352.03;4415.10;2870.67;10302.30;17740.76;1087.23;1963.62;42277.38;5493.51;13106.96;2040.22;4913.31;2893.41;8441.11;17571.19;9916.87;4091.12
1065;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;1705.27;2294.05;4230.58;1553.62;2926.16;5132.24;767.56;1593.53;66246.63;4443.07;23052.51;1771.26;6580.75;3903.87;16036.08;26710.46;6524.40;3031.70
1066;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;2285.08;11887.46;4873.53;11684.85;6600.45;23337.58;988.50;1776.97;49354.36;6407.38;21258.86;1949.07;5652.27;3387.87;12532.27;21260.30;9737.32;3519.27
1067;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;1284.04;1974.63;3640.49;1266.30;6362.00;3779.38;774.18;1504.50;53906.05;3009.85;17828.34;1952.23;6089.65;3626.33;12799.17;22487.77;6242.76;2680.16
1068;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;2564.82;3340.41;5300.24;2031.92;3827.78;5768.13;991.51;2125.07;4294967300.00;4659.91;22854.23;2033.00;7823.85;4690.23;13835.15;28463.65;6925.05;3167.72
1069;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;1256.39;2380.20;5597.20;2000.09;4590.81;6341.27;942.14;1952.36;49839.60;5663.36;30985.89;2135.44;4904.10;2846.36;16743.50;18678.71;6722.26;3779.81
1070;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;2707.94;2405.37;4746.67;1625.88;2967.89;4938.37;859.67;1802.18;47906.62;5778.88;13501.51;1796.53;4785.93;2883.04;10174.76;20644.89;9043.05;3555.67
1071;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;1875.23;2660.91;2896.63;1695.56;4015.56;5732.17;597.79;1383.28;4294967300.00;4136.65;13314.35;1823.16;8118.51;5156.78;10169.90;34816.18;8155.86;2779.78
1072;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;898.58;2084.01;3078.27;1355.76;2049.13;4116.36;834.38;1731.92;53122.38;3866.45;12825.72;1654.38;4947.07;3017.82;11505.22;24455.07;8531.16;3426.35
1073;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;904.27;1518.72;4840.85;1242.21;11770.23;7865.43;777.19;1293.17;35712.97;5054.44;13690.69;1473.87;4284.09;2670.10;9081.19;21957.55;9728.87;3237.65
1074;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;1355.60;2821.59;3041.75;3702.54;3080.41;13658.94;1156.46;2301.53;26631.24;2486.10;13996.21;2341.23;2627.39;1195.49;11255.35;5301.06;6948.29;5663.97
1075;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;1314.94;1924.30;2650.60;1237.05;2467.90;4020.49;509.30;1007.29;60590.06;3715.69;16642.69;1338.04;6504.02;4018.71;13451.42;31512.69;6889.14;2251.99
1076;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;1227.11;2263.08;1903.86;2659.05;1941.83;9913.39;761.54;1408.49;40191.76;2716.16;13103.93;1843.92;4717.64;2799.30;11280.50;19139.43;6608.90;3817.17
1077;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;42;33;1322.26;1542.92;6367.97;1108.01;6411.18;3591.86;588.16;1139.77;36419.19;3610.45;16937.08;1113.30;3941.85;2531.33;13230.76;25996.40;6568.06;2943.58
1078;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;44;33;1566.22;2243.72;3593.40;1566.53;2695.92;5515.04;576.12;1191.80;74184.75;5394.63;12955.22;1663.41;7388.77;4518.76;13149.64;30750.43;7292.60;2576.71
1079;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;1309.25;2360.84;813.06;1479.64;659.45;12811.56;1116.72;1999.56;36681.17;2069.06;6605.08;1875.96;4303.27;2607.10;7216.12;18287.49;8748.03;4086.33
1080;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;1706.09;2178.87;3787.53;1317.91;3929.87;4111.43;493.04;992.81;59231.16;5125.90;14046.79;1348.42;6562.34;4081.72;10888.67;32576.49;8686.77;2168.65
1081;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;44;34;1915.08;2337.61;3953.79;1349.74;2856.12;4359.58;504.48;1052.88;4294967300.00;6237.52;14576.89;1654.83;8548.99;5301.13;11119.06;34326.32;8969.82;2140.87
1082;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;1295.42;1477.10;2810.13;815.52;2679.52;2978.53;936.12;1614.45;34521.52;4996.19;9826.18;1787.51;4163.62;2467.53;7047.37;15940.18;11832.08;4233.85
1083;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;915.66;2010.44;1309.92;2909.38;1122.18;7675.09;912.04;1685.79;25368.02;3128.80;7756.34;1617.83;3076.29;1866.20;7328.07;15358.40;8533.97;4514.51
1084;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;1323.07;2171.12;4407.41;1462.43;9711.41;4666.95;854.25;1817.73;61077.57;5151.35;13533.88;1816.84;5685.26;3278.61;9984.93;23399.11;8517.78;3404.32
1085;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;44;33;1410.90;2793.52;3460.77;3669.85;2858.36;11563.04;849.43;1586.02;37383.97;3739.68;25080.88;1860.62;4587.19;2643.79;16994.99;17077.97;5472.44;4030.78
1086;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;1528.00;2020.12;2157.58;1329.96;1837.52;4762.12;866.89;1604.26;39101.68;2939.37;15536.95;1652.13;4843.48;2834.39;11931.94;16926.64;6832.11;4383.28
1087;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;1130.34;1628.10;3840.39;1329.96;8149.60;6653.58;665.22;1081.31;45520.29;4665.29;12923.85;1386.77;5443.55;3381.49;8225.32;25883.18;9600.01;2577.67
1088;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;44;33;983.15;1110.25;2419.95;608.20;2025.29;1856.21;277.53;391.01;50467.23;4648.16;9072.50;810.95;6343.64;4071.35;6361.05;34956.30;11114.58;1041.22
1089;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;43;33;1163.68;1848.80;2199.86;1640.51;2553.59;5603.87;949.37;1997.95;46267.51;3147.40;14076.13;2088.06;4202.75;2256.19;12534.70;15431.26;5825.21;4325.81
1090;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;925.42;1960.11;2527.58;1396.20;2154.94;8310.98;831.98;1570.47;22375.71;4984.44;14378.61;1463.04;2589.02;1541.61;7582.80;11278.07;10205.56;4329.64
1091;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;2167.17;1917.52;1480.03;1342.00;2310.68;3664.47;473.18;919.33;44143.16;1437.13;9644.08;1125.03;4878.01;3017.82;9242.63;24054.88;4602.85;2348.73
1092;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;36;43;33;2561.57;1845.89;3329.11;825.85;2833.02;1807.56;159.53;191.48;48133.29;4213.50;16913.81;265.35;6681.27;4308.21;12113.66;36726.32;6908.86;537.37
1093;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;44;33;1482.46;2223.39;4590.98;2087.84;6201.80;4873.51;703.15;1529.17;60085.45;4675.57;12309.78;1694.09;5895.51;3411.00;7842.40;22460.86;9833.78;3108.33
1094;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;44;34;1595.49;2866.12;3687.58;3183.81;2631.83;8361.74;775.99;1726.02;61453.46;3932.04;21178.93;2408.02;6198.61;3646.27;13279.44;19611.36;5488.64;3631.34
1095;20401T5;2To4Ri2Re5Ta;2To;4Ri;2Re;5Ta;6.3;37;44;33;1384.87;3240.72;2595.82;2647.87;3490.24;7649.01;564.68;1062.53;52610.94;3588.91;10235.89;1711.69;5936.95;3548.17;9137.98;22701.87;6938.43;2826.72
